Index,acc,name,length,organism,_5,level,_7
1317650,A0A8C0CBD7,Transcription initiation factor IIF subunit alpha,517,Balaenoptera musculus (Blue whale),0.559,2.0,
1317651,A0A8M1GR74,Parathyroid hormone-related protein,177,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.588,2.0,
1317655,A0A8C0CW84,,288,Balaenoptera musculus (Blue whale),0.663,2.0,
1317657,A0A8B8X0T5,,2847,Balaenoptera musculus (Blue whale),0.555,2.0,
1317659,A0A384C981,,482,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.502,2.0,
1317662,A0A8B7AKF7,Parathyroid hormone-related protein,177,Orycteropus afer afer,0.588,2.0,
1317670,A0A8B8W3Z2,,347,Balaenoptera musculus (Blue whale),0.585,2.0,
1317671,A0A8C0CFP8,Syndecan,442,Balaenoptera musculus (Blue whale),0.575,2.0,
1317674,A0A8B8YIZ8,Cyclin-dependent kinase inhibitor 1B,198,Balaenoptera musculus (Blue whale),0.677,2.0,
1317675,A0A8B8XNB1,,985,Balaenoptera musculus (Blue whale),0.513,2.0,
1317705,A0A8C0CZS4,DNA damage-inducible transcript 3 protein,168,Balaenoptera musculus (Blue whale),0.679,2.0,
1317715,A0A8B8V233,[histone H4]-lysine(20) N-methyltransferase,352,Balaenoptera musculus (Blue whale),0.514,2.0,
1317716,A0A8B8ZD36,,656,Balaenoptera musculus (Blue whale),0.637,2.0,
1317733,A0A8B8WZV1,Activated RNA polymerase II transcriptional coactivator p15,127,Balaenoptera musculus (Blue whale),0.504,2.0,
1317758,A0A8B8VZT6,Dysbindin domain-containing protein 1,158,Balaenoptera musculus (Blue whale),0.652,2.0,
1317763,A0A8B8W1P5,Protein phosphatase 1 regulatory subunit 15A,573,Balaenoptera musculus (Blue whale),0.618,2.0,
1317768,A0A8C0DLV0,"Rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",87,Balaenoptera musculus (Blue whale),0.632,2.0,
1317769,A0A8M1GY84,Death domain-associated protein 6,744,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.59,2.0,
1317771,A0A8B8WNN1,Protein max,151,Balaenoptera musculus (Blue whale),0.589,2.0,
1317775,A0A8C0CAV1,Transcription factor 12,682,Balaenoptera musculus (Blue whale),0.686,2.0,
1317776,A0A8B8YH37,,1265,Balaenoptera musculus (Blue whale),0.515,2.0,
1317778,A0A8B8WU89,,2287,Balaenoptera musculus (Blue whale),0.575,2.0,
1317779,A0A384DEX5,DNA polymerase delta subunit 3,465,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.553,2.0,
1317781,A0A5N4CRI8,Negative elongation factor E,372,Camelus dromedarius (Dromedary) (Arabian camel),0.54,2.0,
1317804,A0A8C0DE61,,502,Balaenoptera musculus (Blue whale),0.604,2.0,
1317838,A0A384D559,,350,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.663,2.0,
1317845,A0A384BJF2,,537,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.665,2.0,
1317846,A0A8C0E2W7,,530,Balaenoptera musculus (Blue whale),0.506,2.0,
1317850,A0A8B8W7E6,,614,Balaenoptera musculus (Blue whale),0.515,2.0,
1317871,A0A384C4R5,,156,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.5,2.0,
1317876,A0A8C0CKD9,Elongin-A,774,Balaenoptera musculus (Blue whale),0.576,2.0,
1317877,A0A9L0K0S1,,136,Equus asinus (Donkey) (Equus africanus asinus),0.522,2.0,
1317878,A0A8B8WCH3,,118,Balaenoptera musculus (Blue whale),0.678,2.0,
1317890,A0A8M1GKP4,,263,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.559,2.0,
1317894,A0A8B8XAW7,,745,Balaenoptera musculus (Blue whale),0.529,2.0,
1317895,A0A384D8R6,,288,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.663,2.0,
1317896,A0A8C0DUC5,,1185,Balaenoptera musculus (Blue whale),0.528,2.0,
1317906,A0A8C0C426,,428,Balaenoptera musculus (Blue whale),0.664,2.0,
1317920,A0A384DG32,RNA-binding protein 8A,174,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.54,2.0,
1317924,A0A8M1FV14,,437,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.54,2.0,
1317925,A0A8C0E3I4,,1944,Balaenoptera musculus (Blue whale),0.535,2.0,
1317932,A0A8C0CN43,,728,Balaenoptera musculus (Blue whale),0.578,2.0,
1317938,A0A8C0DW58,Negative elongation factor E,370,Balaenoptera musculus (Blue whale),0.538,2.0,
1317940,A0A8B8VLB4,,196,Balaenoptera musculus (Blue whale),0.515,2.0,
1317943,A0A9L0JUH9,,210,Equus asinus (Donkey) (Equus africanus asinus),0.581,2.0,
1317955,A0A8M1G5S4,,1707,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.611,2.0,
1317983,A0A8C0CMZ3,Twist-related protein 1,204,Balaenoptera musculus (Blue whale),0.525,2.0,
1317992,A0A384DTJ0,Negative elongation factor E,382,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.552,2.0,
1317994,A0A8B7BB01,Transcription factor 12,706,Orycteropus afer afer,0.642,2.0,
1317996,A0A8B8XS83,,566,Balaenoptera musculus (Blue whale),0.594,2.0,
1318003,A0A8B8WRG6,TIMELESS-interacting protein,290,Balaenoptera musculus (Blue whale),0.59,2.0,
1318017,A0A9L0JG75,Cyclin-dependent kinase inhibitor 1B,194,Equus asinus (Donkey) (Equus africanus asinus),0.5,2.0,
1318020,A0A8B8X090,,1018,Balaenoptera musculus (Blue whale),0.512,2.0,
1318043,A0A8B8V3A3,,1133,Balaenoptera musculus (Blue whale),0.569,2.0,
1318053,A0A8B8WXL6,Eukaryotic translation initiation factor 3 subunit J,257,Balaenoptera musculus (Blue whale),0.537,2.0,
1318054,A0A8C0E7T2,,1337,Balaenoptera musculus (Blue whale),0.663,2.0,
1318067,A0A8C0DWK8,Serine/arginine-rich splicing factor 2,221,Balaenoptera musculus (Blue whale),0.588,2.0,
1318074,A0A8B7A1K5,,465,Orycteropus afer afer,0.508,2.0,
1318078,A0A8B8Z4B6,,1426,Balaenoptera musculus (Blue whale),0.533,2.0,
1318091,A0A8B8XLW6,,722,Balaenoptera musculus (Blue whale),0.5,2.0,
1318093,A0A8C0D3C8,,406,Balaenoptera musculus (Blue whale),0.655,2.0,
1318100,A0A8M1FIR9,H/ACA ribonucleoprotein complex subunit,209,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.565,2.0,
1318106,A0A8B8W6Z7,[histone H3]-trimethyl-L-lysine(27) demethylase,1628,Balaenoptera musculus (Blue whale),0.582,2.0,
1318115,A0A8C0D3C9,Serine/threonine-protein phosphatase 1 regulatory subunit 10,925,Balaenoptera musculus (Blue whale),0.576,2.0,
1318119,A0A8B8WSA2,,1976,Balaenoptera musculus (Blue whale),0.637,2.0,
1318123,A0A384CGH2,,670,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.542,2.0,
1318135,A0A8B8V7C6,,1546,Balaenoptera musculus (Blue whale),0.559,2.0,
1318136,A0A8B8VU98,,576,Balaenoptera musculus (Blue whale),0.535,2.0,
1318141,A0A8C0D1K7,,209,Balaenoptera musculus (Blue whale),0.545,2.0,
1318164,A0A6J2MQJ5,Twist-related protein 1,198,Phyllostomus discolor (pale spear-nosed bat),0.51,2.0,
1318169,A0A6J2N551,,1311,Phyllostomus discolor (pale spear-nosed bat),0.613,2.0,
1318172,A0A6J2LS75,,460,Phyllostomus discolor (pale spear-nosed bat),0.517,2.0,
1318194,A0A6J2LY09,Protein naked cuticle homolog,465,Phyllostomus discolor (pale spear-nosed bat),0.654,2.0,
1318206,A0A6J2KVD5,,118,Phyllostomus discolor (pale spear-nosed bat),0.627,2.0,
1318207,A0A6J2MZQ7,,656,Phyllostomus discolor (pale spear-nosed bat),0.651,2.0,
1318208,A0A6J2LRC6,,194,Phyllostomus discolor (pale spear-nosed bat),0.531,2.0,
1318215,A0A8C4MUG4,Twist-related protein 1,199,Equus asinus (Donkey) (Equus africanus asinus),0.513,2.0,
1318231,A0A6J2MAR3,Anaphase-promoting complex subunit CDC26,85,Phyllostomus discolor (pale spear-nosed bat),0.612,2.0,
1318233,A0A6J2LCE2,,845,Phyllostomus discolor (pale spear-nosed bat),0.688,2.0,
1318260,A0A5N4C6E9,Parathyroid hormone-related protein,175,Camelus dromedarius (Dromedary) (Arabian camel),0.583,2.0,
1318265,A0A6J2MQM3,,1710,Phyllostomus discolor (pale spear-nosed bat),0.577,2.0,
1318271,A0A452TQA6,,121,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.628,2.0,
1318276,A0A6J2MZ44,,236,Phyllostomus discolor (pale spear-nosed bat),0.513,2.0,
1318277,A0A8B8WMJ1,,579,Balaenoptera musculus (Blue whale),0.549,2.0,
1318284,A0A6J2L1D4,Protein max,151,Phyllostomus discolor (pale spear-nosed bat),0.589,2.0,
1318286,A0A6J2MGH3,,509,Phyllostomus discolor (pale spear-nosed bat),0.589,2.0,
1318305,A0A6J2MFL7,,162,Phyllostomus discolor (pale spear-nosed bat),0.512,2.0,
1318313,A0A6J2LC76,Death domain-associated protein 6,735,Phyllostomus discolor (pale spear-nosed bat),0.582,2.0,
1318314,A0A6J2MBY9,,406,Phyllostomus discolor (pale spear-nosed bat),0.65,2.0,
1318316,A0A6J2N6X1,,1699,Phyllostomus discolor (pale spear-nosed bat),0.556,2.0,
1318318,A0A6J2L5A1,,62,Phyllostomus discolor (pale spear-nosed bat),0.645,2.0,
1318320,A0A7E6DUY6,,277,Phyllostomus discolor (pale spear-nosed bat),0.542,2.0,
1318325,A0A6J2MSN5,,465,Phyllostomus discolor (pale spear-nosed bat),0.533,2.0,
1318326,A0A6J2MD95,,1479,Phyllostomus discolor (pale spear-nosed bat),0.526,2.0,
1318328,A0A6J2MDL0,,158,Phyllostomus discolor (pale spear-nosed bat),0.5,2.0,
1318329,A0A6J2LHB0,,707,Phyllostomus discolor (pale spear-nosed bat),0.569,2.0,
1318350,A0A7E6E273,,891,Phyllostomus discolor (pale spear-nosed bat),0.514,2.0,
1318361,A0A6J2ML30,,469,Phyllostomus discolor (pale spear-nosed bat),0.678,2.0,
1318362,A0A6J2L0B0,Pancreas/duodenum homeobox protein 1,282,Phyllostomus discolor (pale spear-nosed bat),0.543,2.0,
1318365,A0A6J2M693,,579,Phyllostomus discolor (pale spear-nosed bat),0.504,2.0,
1318366,A0A6J2L9I6,Microtubule-associated protein,471,Phyllostomus discolor (pale spear-nosed bat),0.607,2.0,
1318367,A0A8C9HSX2,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,191,Piliocolobus tephrosceles (Ugandan red Colobus),0.518,2.0,
1318369,A0A6J2MNP8,PC4 and SFRS1-interacting protein,526,Phyllostomus discolor (pale spear-nosed bat),0.652,2.0,
1318374,A0A6J2N0T2,Paxillin,591,Phyllostomus discolor (pale spear-nosed bat),0.521,2.0,
1318378,A0A8B8VA91,,1525,Balaenoptera musculus (Blue whale),0.631,2.0,
1318382,A0A384DB59,RING-type E3 ubiquitin transferase,1002,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.503,2.0,
1318391,A0A5N4CWN3,,1624,Camelus dromedarius (Dromedary) (Arabian camel),0.55,2.0,
1318399,A0A6J2MXY5,,118,Phyllostomus discolor (pale spear-nosed bat),0.661,2.0,
1318403,A0A6J2NJQ7,[histone H3]-trimethyl-L-lysine(27) demethylase,1639,Phyllostomus discolor (pale spear-nosed bat),0.559,2.0,
1318412,A0A8M1FGY6,,562,Ursus maritimus (Polar bear) (Thalarctos maritimus),0.53,2.0,
1318414,A0A8C0DFU4,,598,Balaenoptera musculus (Blue whale),0.565,2.0,
1318415,A0A8C0D8U2,Histone-lysine N-methyltransferase,3972,Balaenoptera musculus (Blue whale),0.501,2.0,
1318439,A0A6J2L696,,986,Phyllostomus discolor (pale spear-nosed bat),0.532,2.0,
1318440,A0A8C9H7Y5,,897,Piliocolobus tephrosceles (Ugandan red Colobus),0.562,2.0,
1318454,A0A7E6DD49,,2344,Phyllostomus discolor (pale spear-nosed bat),0.643,2.0,
1318471,A0A6J2L9Y1,,507,Phyllostomus discolor (pale spear-nosed bat),0.527,2.0,
1318473,A0A6J2MAT5,Microtubule-associated protein,446,Phyllostomus discolor (pale spear-nosed bat),0.63,2.0,
1318475,A0A6J2N8D2,Protein phosphatase 1 regulatory subunit 15A,741,Phyllostomus discolor (pale spear-nosed bat),0.698,2.0,
1318487,A0A6J2LW63,Splicing factor 1,639,Phyllostomus discolor (pale spear-nosed bat),0.61,2.0,
1318489,A0A6J2KYR4,,612,Phyllostomus discolor (pale spear-nosed bat),0.516,2.0,
1318496,A0A8C0E6Z4,,1316,Balaenoptera musculus (Blue whale),0.673,2.0,
1318522,A0A7E6CYJ4,,639,Phyllostomus discolor (pale spear-nosed bat),0.507,2.0,
1318529,A0A6J2LMT2,Syndecan,442,Phyllostomus discolor (pale spear-nosed bat),0.509,2.0,
1318536,A0A6J2NHC0,Parathyroid hormone-related protein,177,Phyllostomus discolor (pale spear-nosed bat),0.588,2.0,
1318546,A0A6J2LAQ5,,2847,Phyllostomus discolor (pale spear-nosed bat),0.573,2.0,
1318548,A0A8C0CLK2,,134,Balaenoptera musculus (Blue whale),0.59,2.0,
1318558,A0A6J2MAE1,Microtubule-associated protein,388,Phyllostomus discolor (pale spear-nosed bat),0.575,2.0,
1318569,A0A6J2L963,,482,Phyllostomus discolor (pale spear-nosed bat),0.533,2.0,
1318576,A0A6J2M9T1,,187,Phyllostomus discolor (pale spear-nosed bat),0.604,2.0,
1318581,A0A6J2L3Q1,Protein max,162,Phyllostomus discolor (pale spear-nosed bat),0.599,2.0,
1318605,A0A6J2MG05,Polyglutamine-binding protein 1,265,Phyllostomus discolor (pale spear-nosed bat),0.694,2.0,
1318615,A0A6J2LIQ8,,228,Phyllostomus discolor (pale spear-nosed bat),0.5,2.0,
1318625,A0A6J2NC07,Cleavage and polyadenylation specificity factor subunit 6,551,Phyllostomus discolor (pale spear-nosed bat),0.579,2.0,
1318628,A0A8C9HJI3,Death domain-associated protein 6,739,Piliocolobus tephrosceles (Ugandan red Colobus),0.587,2.0,
1318650,A0A6J2LDD6,,2470,Phyllostomus discolor (pale spear-nosed bat),0.602,2.0,
1318666,A0A6J2N591,U1 small nuclear ribonucleoprotein 70 kDa,439,Phyllostomus discolor (pale spear-nosed bat),0.649,2.0,
1318692,A0A6J2MLI2,Activated RNA polymerase II transcriptional coactivator p15,127,Phyllostomus discolor (pale spear-nosed bat),0.504,2.0,
1318698,A0A6J2L9V4,Integrin-binding sialoprotein,310,Phyllostomus discolor (pale spear-nosed bat),0.674,2.0,
1318702,A0A6J2M9Z4,,1447,Phyllostomus discolor (pale spear-nosed bat),0.545,2.0,
1318704,A0A8C9ITF0,Serine/arginine-rich splicing factor 2,221,Piliocolobus tephrosceles (Ugandan red Colobus),0.588,2.0,
1318713,A0A6J2L9L4,,121,Phyllostomus discolor (pale spear-nosed bat),0.62,2.0,
1318714,A0A8C9GZV7,,1977,Piliocolobus tephrosceles (Ugandan red Colobus),0.593,2.0,
1318717,A0A6J2L8R9,,190,Phyllostomus discolor (pale spear-nosed bat),0.558,2.0,
1318731,A0A6J2LUB0,,235,Phyllostomus discolor (pale spear-nosed bat),0.574,2.0,
1318732,A0A6J2NE83,Protein phosphatase 1 regulatory subunit,1030,Phyllostomus discolor (pale spear-nosed bat),0.609,2.0,
1318733,A0A6J2NB82,DNA damage-inducible transcript 3 protein,168,Phyllostomus discolor (pale spear-nosed bat),0.643,2.0,
1318735,A0A6J2L9X6,,542,Phyllostomus discolor (pale spear-nosed bat),0.506,2.0,
1318741,A0A6J2NAT5,,1106,Phyllostomus discolor (pale spear-nosed bat),0.511,2.0,
1318744,A0A7E6EER9,Serine/arginine-rich splicing factor 2,221,Phyllostomus discolor (pale spear-nosed bat),0.588,2.0,
1318753,A0A6J2KZ40,,1426,Phyllostomus discolor (pale spear-nosed bat),0.503,2.0,
1318765,A0A6J2L900,,2865,Phyllostomus discolor (pale spear-nosed bat),0.569,2.0,
1318785,A0A6J2N101,[histone H3]-lysine(4) N-methyltransferase,2699,Phyllostomus discolor (pale spear-nosed bat),0.512,2.0,
1318786,A0A6J2MVD0,Securin,202,Phyllostomus discolor (pale spear-nosed bat),0.535,2.0,
1318792,A0A6J2LCE7,,202,Phyllostomus discolor (pale spear-nosed bat),0.505,2.0,
1318794,A0A6J2KWT9,Dysbindin domain-containing protein 1,165,Phyllostomus discolor (pale spear-nosed bat),0.576,2.0,
1318796,A0A6J2N9Q2,,1812,Phyllostomus discolor (pale spear-nosed bat),0.524,2.0,
1318801,A0A7E6EA49,Transcription initiation factor IIF subunit alpha,516,Phyllostomus discolor (pale spear-nosed bat),0.56,2.0,
1318817,A0A6J2LV38,,2278,Phyllostomus discolor (pale spear-nosed bat),0.612,2.0,
1318834,A0A6J2MVY5,Sperm surface protein Sp17,169,Phyllostomus discolor (pale spear-nosed bat),0.521,2.0,
1318835,A0A8C9I9P3,,1426,Piliocolobus tephrosceles (Ugandan red Colobus),0.536,2.0,
1318837,A0A6J2MCT1,,359,Phyllostomus discolor (pale spear-nosed bat),0.643,2.0,
1318842,A0A6J2MS62,,418,Phyllostomus discolor (pale spear-nosed bat),0.66,2.0,
1318851,A0A6J2L6Z6,Protein max,160,Phyllostomus discolor (pale spear-nosed bat),0.613,2.0,
1318852,A0A6J2LFL7,,513,Phyllostomus discolor (pale spear-nosed bat),0.517,2.0,
1318858,A0A6J2LUT4,,456,Phyllostomus discolor (pale spear-nosed bat),0.546,2.0,
1318860,A0A6J2LRX1,,121,Phyllostomus discolor (pale spear-nosed bat),0.628,2.0,
1318872,A0A6J2KVN6,,288,Phyllostomus discolor (pale spear-nosed bat),0.663,2.0,
1318873,A0A6J2N6P9,Cleavage and polyadenylation specificity factor subunit 6,552,Phyllostomus discolor (pale spear-nosed bat),0.578,2.0,
1318884,A0A6J2MDH1,Microtubule-associated protein,417,Phyllostomus discolor (pale spear-nosed bat),0.604,2.0,
1318886,A0A6J2LS22,,2279,Phyllostomus discolor (pale spear-nosed bat),0.621,2.0,
1318890,A0A7E6CUK1,,78,Phyllostomus discolor (pale spear-nosed bat),0.551,2.0,
1318891,A0A6J2KWQ6,RNA-binding protein 8A,174,Phyllostomus discolor (pale spear-nosed bat),0.54,2.0,
1318894,A0A7E6DIR3,Microtubule-associated protein,502,Phyllostomus discolor (pale spear-nosed bat),0.568,2.0,
1318899,A0A6J2MAD2,Transcription initiation factor IIF subunit alpha,517,Phyllostomus discolor (pale spear-nosed bat),0.553,2.0,
1318906,A0A6J2MF18,,614,Phyllostomus discolor (pale spear-nosed bat),0.511,2.0,
1318913,A0A6J2LUJ0,POU domain protein,450,Phyllostomus discolor (pale spear-nosed bat),0.516,2.0,
1318922,A0A6J2MGK0,"Rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma",87,Phyllostomus discolor (pale spear-nosed bat),0.632,2.0,
1318923,A0A6J2MZV7,U1 small nuclear ribonucleoprotein 70 kDa,430,Phyllostomus discolor (pale spear-nosed bat),0.642,2.0,
1318967,A0A2K6QND0,Transcription factor 12,682,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.68,2.0,
1318971,A0A6J2LED6,E3 ubiquitin-protein ligase PPP1R11,126,Phyllostomus discolor (pale spear-nosed bat),0.651,2.0,
1318982,A0A6J1YVU3,,1488,Acinonyx jubatus (Cheetah),0.511,2.0,
1318998,A0A6J2ARK7,,505,Acinonyx jubatus (Cheetah),0.541,2.0,
1319005,A0A6I9ZD04,,62,Acinonyx jubatus (Cheetah),0.629,2.0,
1319006,A0A2K6PLA1,,499,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.579,2.0,
1319013,A0A2K6QKH9,,1712,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.651,2.0,
1319024,A0A2K6NUE0,Syndecan,435,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.515,2.0,
1319028,A0A6I9ZGQ1,,848,Acinonyx jubatus (Cheetah),0.686,2.0,
1319029,A0A2K6RJS5,Microtubule-associated protein,410,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.624,2.0,
1319034,A0A2K6PTG0,,731,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.543,2.0,
1319041,A0A7J8FPZ0,,513,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.524,2.0,
1319054,A0A7J8CTE4,,553,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.505,2.0,
1319056,A0A7J8GJG9,,118,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.661,2.0,
1319066,A0A6J1Z800,YTH domain-containing family protein,749,Acinonyx jubatus (Cheetah),0.615,2.0,
1319088,A0A6J1YTH7,Microtubule-associated protein,388,Acinonyx jubatus (Cheetah),0.523,2.0,
1319096,A0A2K6RDS5,,1935,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.618,2.0,
1319105,A0A2K6PR68,,106,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.613,2.0,
1319108,A0A2K6NCL1,,1945,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.547,2.0,
1319110,A0A2K6QVB7,Cyclin-dependent kinase 12,1420,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.685,2.0,
1319134,A0A7J8FWH0,,568,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.537,2.0,
1319139,A0A6J1YDU6,,1312,Acinonyx jubatus (Cheetah),0.591,2.0,
1319145,A0A2K6R2A9,,457,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.547,2.0,
1319158,A0A2K6RCY3,,1234,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.508,2.0,
1319187,A0A2K6NDB7,"Troponin T, cardiac muscle",286,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.64,2.0,
1319193,A0A2K6PXF4,,621,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.522,2.0,
1319195,A0A2K6P9T3,,545,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.602,2.0,
1319211,A0A6J1ZMB0,,475,Acinonyx jubatus (Cheetah),0.554,2.0,
1319216,A0A2K6NCK5,,1926,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.531,2.0,
1319218,A0A7J8J815,,1480,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.532,2.0,
1319224,A0A7J8GPX0,Death domain-associated protein 6,741,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.54,2.0,
1319226,A0A6J0A3U0,,656,Acinonyx jubatus (Cheetah),0.649,2.0,
1319229,A0A7J8JSS7,EP300 interacting inhibitor of differentiation 1,191,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.618,2.0,
1319233,A0A2K6NMQ3,Cold-inducible RNA-binding protein,180,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.561,2.0,
1319238,A0A2K6QA56,,2236,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.594,2.0,
1319247,A0A6J1ZEZ5,Elongin-A,800,Acinonyx jubatus (Cheetah),0.599,2.0,
1319252,A0A6J1XVV4,,414,Acinonyx jubatus (Cheetah),0.587,2.0,
1319255,A0A2K6PRP0,FAM21/CAPZIP domain-containing protein,1271,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.573,2.0,
1319267,A0A2K6PWD3,,928,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.585,2.0,
1319268,A0A7J8I940,,706,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.537,2.0,
1319290,A0A2K6QIJ8,,172,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.587,2.0,
1319294,A0A7J8GTF7,E3 ubiquitin-protein ligase PPP1R11,126,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.659,2.0,
1319296,A0A6J1YJU8,Transcription initiation factor IIF subunit alpha,489,Acinonyx jubatus (Cheetah),0.585,2.0,
1319297,A0A6J1YJD8,,746,Acinonyx jubatus (Cheetah),0.517,2.0,
1319299,A0A7J8CAC2,Protein phosphatase 1 regulatory subunit 15A,746,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.645,2.0,
1319308,A0A2K6QA92,,2289,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.603,2.0,
1319313,A0A6J1XMD0,,338,Acinonyx jubatus (Cheetah),0.642,2.0,
1319315,A0A7J8G0H3,,340,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.618,2.0,
1319324,A0A6J1Z5E6,,622,Acinonyx jubatus (Cheetah),0.539,2.0,
1319339,A0A6I9ZH00,Serine/threonine-protein phosphatase 1 regulatory subunit 10,955,Acinonyx jubatus (Cheetah),0.513,2.0,
1319345,A0A6I9ZVN8,,418,Acinonyx jubatus (Cheetah),0.672,2.0,
1319349,A0A6J1YY95,,164,Acinonyx jubatus (Cheetah),0.671,2.0,
1319358,A0A7J8DN86,,433,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.617,2.0,
1319367,A0A2K6R1U0,,470,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.674,2.0,
1319376,A0A7J8G0N0,Protein phosphatase 1 regulatory subunit,1005,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.619,2.0,
1319383,A0A6J2A995,,1852,Acinonyx jubatus (Cheetah),0.64,2.0,
1319387,A0A6J2AJG9,CD44 antigen,744,Acinonyx jubatus (Cheetah),0.534,2.0,
1319392,A0A6J1Z7A5,,946,Acinonyx jubatus (Cheetah),0.655,2.0,
1319397,A0A6J1XD98,,585,Acinonyx jubatus (Cheetah),0.523,2.0,
1319407,A0A6J1ZAA3,,1600,Acinonyx jubatus (Cheetah),0.523,2.0,
1319412,A0A6J1Y3B4,,1968,Acinonyx jubatus (Cheetah),0.545,2.0,
1319415,A0A2K6NMP4,Cold-inducible RNA-binding protein,172,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.605,2.0,
1319439,A0A2K6NQY5,,628,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.599,2.0,
1319442,A0A6J1ZQD6,,228,Acinonyx jubatus (Cheetah),0.504,2.0,
1319452,A0A6J2A118,Transcription factor 12,705,Acinonyx jubatus (Cheetah),0.616,2.0,
1319458,A0A7J8ER45,,896,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.545,2.0,
1319467,A0A7J8J8P1,,507,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.598,2.0,
1319483,A0A6J1YHX9,,68,Acinonyx jubatus (Cheetah),0.662,2.0,
1319507,A0A2K6QVT2,Protein max,160,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.613,2.0,
1319515,A0A2K6Q4L6,,3626,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.593,2.0,
1319525,A0A2K6NW21,,823,Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana),0.678,2.0,
1319527,A0A7J8J7P8,,156,Molossus molossus (Pallas' mastiff bat) (Vespertilio molossus),0.5,2.0,
1319533,A0A6J1XPL0,,2938,Acinonyx jubatus (Cheetah),0.515,2.0,
